date,label,tm,pm
1,1,0,0
2,1,-0.57499124122218,-0.0741910859188999
3,1,0.83308652086619,0.43384662222926
4,1,-1.18865176640231,-0.15894452558139
5,0,-2.27564826700898,0.675093424688236
6,1,3.79480945121951,2.87739604707739
7,0,0.17944955583756,-0.787554827136
8,1,-0.22902122572173,-1.29865339851984
9,1,-0.66285392535393,-0.35914684692573
10,0,-1.50963203463203,0.28164186078344
11,0,-0.100513081808702,0.708802005543033
12,1,0.680904045012165,1.71783549711385
13,1,1.67589858058608,0.989816053131217
14,1,-1.87931267234638,-0.46521811895939
15,1,1.89797522564008,0.963139806983026
16,1,-0.61115339578454,-1.02628470709801
17,0,0.32099567099567,-0.48633572737735
18,1,-0.85560606060606,-0.62857042765114
19,1,0.97260673830962,0.76045423419245
20,1,-0.47555395238586,-0.79204227497663
21,1,0.4455734767025,0.21951365631694
22,0,0.42519841269842,-0.39092265196275
23,1,-0.45595290081098,-0.54616149872832
24,0,0.6702755609095,-0.4805241583292
25,1,-0.64495335918667,-0.7080770084031
26,1,-1.62875353736506,-0.28244824425865
27,1,1.11465327358348,1.18448964814591
28,1,0.81233941462739,0.31704518088143
29,0,0.18851190049283,-0.58352765168631
30,1,-0.0556956418257801,-0.50858479872572
31,1,-0.39205816317886,-0.46224267861056
32,0,0.5812802892046,-0.65598192544797
33,1,-0.0213940706976903,-0.84886677330429
34,1,-1.00561987538731,-0.57678492430348
35,0,-1.61436312614909,0.31442416581764
36,1,2.02838322216156,1.5929028010236
37,1,-2.17798259050873,-0.30201149961968
38,1,1.72577419945943,1.67692011532977
39,1,0.13752886172792,0.13266172471753
40,1,0.54423995491375,0.0497223070789599
41,1,-0.422635115267,-1.05938765105043
42,1,0.32643000894455,0.1324201055888
43,1,-0.24051323175622,-0.88839712516271
44,0,0.24310844577711,-0.23323943405244
45,0,0.19114961316335,-0.48027678935824
46,1,-0.26692058013887,-0.43604724396509
47,1,-0.59072353013682,-0.32745950754497
48,1,0.83526962567709,0.24913430777159
49,0,0.0774616406910797,-0.55977565719123
50,1,-0.97761358085003,-0.5211291117657
51,0,-0.26871779806562,0.36485256492295
52,1,1.0673745486377,0.52189319336997
53,1,-1.26225358851674,-0.64402305704772
54,0,-0.214020300088264,0.65641978688982
55,0,-0.396516092779321,0.887320046912914
56,1,0.689916558156835,1.01255751619017
57,0,-0.25165289256198,0.16264074749976
